timestamp,x,y,theta,front_left,front,front_right,rear
12391.931887315,0.0,0.0,0.0,53,191,140,122
12392.077101167,0.0,0.0,-0.0,53,191,140,122
12392.109507619,0.02,0.0,0.0,53,191,140,122
12392.109945081,0.02,0.0,0.0,53,191,140,122
12392.320407123,0.03,0.0,0.01,53,182,136,123
12392.324268786,0.07,0.0,0.01,53,182,136,123
12392.364024941,0.09,0.0,0.0,71,182,132,124
12392.411175754,0.11,0.0,0.0,71,182,132,124
12392.604405283,0.15,0.0,-0.0,87,181,126,126
12392.626656502,0.15,0.0,-0.0,87,181,126,126
12392.703179949,0.18,0.0,-0.0,101,180,123,124
12392.811132512,0.21,0.0,-0.01,99,180,123,124
12392.957467111,0.24,0.0,-0.0,99,182,120,123
12392.9953565,0.26,0.0,-0.01,111,179,117,122
12393.208139085,0.3,-0.0,-0.01,126,176,115,122
12393.244796341,0.31,-0.0,-0.01,126,176,115,122
12393.318025071,0.34,-0.0,-0.01,139,172,113,120
12393.434055225,0.36,-0.0,-0.01,139,172,113,120
12393.627006025,0.41,-0.0,-0.01,139,168,111,126
12393.656969378,0.41,-0.0,-0.01,139,168,111,126
12393.725458227,0.44,-0.0,-0.01,129,163,108,134
12393.922393059,0.49,-0.0,-0.01,129,191,105,136
12394.120410977,0.49,-0.0,-0.01,129,191,105,136
12394.154772301,0.54,-0.0,-0.01,128,214,102,145
12394.155083446,0.54,-0.0,-0.01,128,214,102,145
12394.215296953,0.57,-0.0,-0.01,127,234,97,145
12394.437702154,0.62,-0.0,-0.01,131,230,94,161
12394.477344166,0.62,-0.0,-0.01,131,230,94,161
12394.533049095,0.65,-0.0,-0.01,131,230,94,161
12394.824501574,0.73,-0.01,-0.02,142,260,91,175
12395.361620227,0.73,-0.01,-0.02,142,260,91,175
12395.362081203,0.73,-0.01,-0.02,142,260,91,175
12395.408516234,0.86,-0.01,-0.02,160,288,81,179
12395.408803584,0.86,-0.01,-0.02,160,288,81,179
12395.408984654,0.86,-0.01,-0.02,160,288,81,179
12395.409152329,0.86,-0.01,-0.02,160,288,81,179
12395.409321647,0.87,-0.01,-0.02,160,288,81,179
12395.467212432,0.88,-0.01,-0.02,160,288,81,179
12395.56038407,0.91,-0.01,-0.02,164,294,78,182
12395.687746272,0.94,-0.01,-0.02,164,294,78,182
12395.777378532,0.97,-0.01,-0.02,387,298,78,182
12395.857210256,0.98,-0.01,-0.02,387,298,230,183
12396.148416702,1.07,-0.01,-0.02,404,297,210,181
12396.451511205,1.07,-0.01,-0.02,404,297,192,181
12396.559197445,1.12,-0.01,-0.02,410,298,192,183
12396.559486087,1.12,-0.01,-0.02,410,298,192,183
12396.559688978,1.12,-0.01,-0.02,410,298,192,183
12396.64221854,1.17,-0.01,-0.02,410,298,332,188
12396.642554561,1.18,-0.01,-0.02,412,298,332,188
12396.715121783,1.2,-0.01,-0.02,412,298,458,194
12396.77358774,1.23,-0.01,-0.02,412,298,458,194
12396.866198095,1.24,-0.01,-0.02,402,297,420,194
12396.972271988,1.28,-0.02,-0.02,392,295,420,200
12397.017416356,1.29,-0.02,-0.02,392,295,537,199
12397.19626424,1.33,-0.02,-0.02,382,287,537,199
12397.275045183,1.34,-0.02,-0.02,382,287,537,199
12397.415079689,1.39,-0.02,-0.02,382,287,643,196
12397.6222783,1.39,-0.02,-0.02,372,284,582,197
12397.635281102,1.44,-0.02,-0.02,362,279,525,197
12397.780980187,1.45,-0.02,-0.02,362,279,525,198
12397.863297111,1.49,-0.02,-0.02,352,275,475,200
12397.863614146,1.5,-0.02,-0.02,352,275,475,200
